date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:09	9655/9655	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2000:56:40%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/12/1113283798.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/12/1113283798.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:10	10331/10331	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2000:56:44%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/12/1113298237.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/12/1113298237.jpg	(from https://www.megamachinery.com/portfolio/pet-blow-mould/)
14:09:12	3470/3470	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:39:09%20GMT	https://www.megamachinery.com/wp-json/wp/v2/pages/2180	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/wp/v2/pages/2180.json	(from https://www.megamachinery.com/products/filling-packaging-equipments/)
14:09:13	2264/2264	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:39:11%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Ffilling-packaging-equipments%2F	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embedad1b.json	(from https://www.megamachinery.com/products/filling-packaging-equipments/)
14:09:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Apr%202025%2009:39:11%20GMT	https://www.megamachinery.com/?p=2180	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/index8175.html	(from https://www.megamachinery.com/products/filling-packaging-equipments/)
14:09:15	2416/2416	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Apr%202025%2009:39:12%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Ffilling-packaging-equipments%2F&format=xml	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed8ddb	(from https://www.megamachinery.com/products/filling-packaging-equipments/)
14:09:18	198410/198410	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:50:28%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/Filling-Packaging-Equipments.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/Filling-Packaging-Equipments.jpg	(from https://www.megamachinery.com/products/filling-packaging-equipments/)
14:09:18	4247/4247	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:39:15%20GMT	https://www.megamachinery.com/wp-json/wp/v2/pages/2178	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/wp/v2/pages/2178.json	(from https://www.megamachinery.com/products/equipments-for-caps/)
14:09:18	148356/148356	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:39:14%20GMT	https://www.megamachinery.com/portfolio/filling-packaging-equipments/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/filling-packaging-equipments/index.html	(from https://www.megamachinery.com/products/filling-packaging-equipments/)
14:09:19	2198/2198	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Apr%202025%2009:39:17%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Fequipments-for-caps%2F	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed353b.json	(from https://www.megamachinery.com/products/equipments-for-caps/)
14:09:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Apr%202025%2009:39:17%20GMT	https://www.megamachinery.com/?p=2178	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/index330f.html	(from https://www.megamachinery.com/products/equipments-for-caps/)
14:09:21	2353/2353	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Apr%202025%2009:39:18%20GMT	https://www.megamachinery.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.megamachinery.com%2Fproducts%2Fequipments-for-caps%2F&format=xml	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-json/oembed/1.0/embed5188	(from https://www.megamachinery.com/products/equipments-for-caps/)
14:09:23	150914/150914	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Apr%202025%2009:39:20%20GMT	https://www.megamachinery.com/portfolio/cap-lining-machine/	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/portfolio/cap-lining-machine/index.html	(from https://www.megamachinery.com/products/equipments-for-caps/)
14:09:23	187065/187065	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Dec%202020%2007:50:15%20GMT	https://www.megamachinery.com/wp-content/uploads/2020/07/Cap-Lining-Machine-1.jpg	C:/My%20Web%20Sites/Mega%20website/www.megamachinery.com/wp-content/uploads/2020/07/Cap-Lining-Machine-1.jpg	(from https://www.megamachinery.com/products/equipments-for-caps/)
